"1015","2265","2045","2265"
"543","2265","910","2265"
"2150","2264","2325","2264"
"2388","2263","2852","2263"
"2388","2260","2852","2260"
"2149","2259","2329","2259"
"1016","2259","2043","2259"
"543","2259","910","2259"
"2385","2067","2753","2067"
"2102","2067","2378","2067"
"2036","2067","2095","2067"
"965","2067","2000","2067"
"2385","2060","2739","2060"
"2102","2060","2378","2060"
"1532","2060","2000","2060"
"965","2060","1524","2060"
"2193","1878","2284","1878"
"1533","1878","1810","1878"
"1246","1878","1523","1878"
"585","1878","957","1878"
"493","1878","553","1878"
"142","1878","485","1878"
"2196","1872","2277","1872"
"1536","1872","1805","1872"
"1251","1872","1521","1872"
"589","1872","961","1872"
"495","1872","553","1872"
"162","1872","483","1872"
"727","1779","889","1779"
"587","1779","726","1779"
"731","1772","887","1772"
"587","1772","720","1772"
"2052","1590","2141","1590"
"731","1590","957","1590"
"587","1590","722","1590"
"2052","1584","2162","1584"
"734","1584","961","1584"
"584","1584","718","1584"
"2052","1495","2170","1495"
"584","1495","961","1495"
"2052","1489","2139","1489"
"588","1489","957","1489"
"2430","1401","2597","1401"
"2291","1401","2376","1401"
"1534","1401","1901","1401"
"1154","1401","1523","1401"
"636","1401","912","1401"
"2433","1395","2597","1395"
"2293","1395","2375","1395"
"1533","1395","1904","1395"
"1151","1395","1522","1395"
"638","1395","909","1395"
"587","1307","957","1307"
"587","1300","957","1300"
"1204","1262","1854","1262"
"1204","1256","1853","1256"
"713","1213","955","1213"
"589","1213","711","1213"
"717","1206","957","1206"
"587","1206","706","1206"
"1530","1168","1901","1168"
"1153","1168","1524","1168"
"1532","1161","1901","1161"
"1153","1161","1524","1161"
"716","1024","882","1024"
"587","1024","706","1024"
"588","1017","883","1017"
"2192","929","2283","929"
"1674","929","1812","929"
"1535","929","1662","929"
"1246","929","1521","929"
"584","929","863","929"
"489","929","544","929"
"161","929","466","929"
"2177","923","2305","923"
"1676","923","1833","923"
"1532","923","1661","923"
"1224","923","1522","923"
"563","923","878","923"
"480","923","547","923"
"158","923","458","923"
"2054","741","2739","741"
"1673","741","2002","741"
"1037","741","1663","741"
"2759","735","2852","735"
"1036","734","2020","734"
"2028","732","2852","732"
